Title,Genre,Premiere,Runtime,IMDB Score,Language
The Princess Switch,Romantic comedy,16-Nov-2018,101,6,English
To All the Boys: P.S. I Still Love You,Romantic comedy,12-Feb-2020,102,6,English
War Machine,War-Comedy,26-May-2017,122,6,English
6 Underground,Action,13-Dec-2019,128,6.1,English
Between Two Ferns: The Movie,Comedy,20-Sep-2019,82,6.1,English
Burning Sands,Drama,10-Mar-2017,102,6.1,English
Casting JonBenet,Documentary,28-Apr-2017,80,6.1,English
Deidra & Laney Rob a Train,Drama,17-Mar-2017,94,6.1,English
Finding 'Ohana,Family,29-Jan-2021,123,6.1,English
Holidate,Romantic comedy/Holiday,28-Oct-2020,104,6.1,English
Holiday in the Wild,Adventure-romance,1-Nov-2019,85,6.1,English
Hot Girls Wanted,Documentary,29-May-2015,84,6.1,English
Like Father,Comedy,3-Aug-2018,103,6.1,English
Lost Girls,Crime drama,13-Mar-2020,95,6.1,English
Otherhood,Comedy,2-Aug-2019,100,6.1,English
Pee-wee's Big Holiday,Adventure,18-Mar-2016,89,6.1,English
Rogue City,Crime drama,30-Oct-2020,116,6.1,French
Sergio,Biopic,17-Apr-2020,118,6.1,English
Stuck Apart,Drama,8-Jan-2021,96,6.1,Turkish
Tersanjung the Movie,Drama,1-Apr-2021,114,6.1,Indonesian
The Killer,Western,10-Nov-2017,99,6.1,Portuguese
The Lovebirds,Romantic comedy,22-May-2020,87,6.1,English
The Most Hated Woman in America,Biopic,24-Mar-2017,92,6.1,English
The Perfection,Horror-thriller,24-May-2019,90,6.1,English
Tribhanga – Tedhi Medhi Crazy,Drama,15-Jan-2021,95,6.1,Hindi
Unknown Origins,Thriller,28-Aug-2020,96,6.1,Spanish
Work It,Dance comedy,7-Aug-2020,93,6.1,English
Alien Xmas,Stop Motion,20-Nov-2020,42,6.2,English
Baggio: The Divine Ponytail,Biopic,26-May-2021,92,6.2,Italian
Below Zero,Drama,29-Jan-2021,106,6.2,Spanish
Citation,Drama,6-Nov-2020,151,6.2,English
Crazy Awesome Teachers,Comedy-drama,17-Aug-2020,101,6.2,Indonesian
Have You Ever Seen Fireflies?,Comedy,9-Apr-2021,114,6.2,Turkish
High Flying Bird,Sports-drama,8-Feb-2019,90,6.2,English
In the Shadow of the Moon,Thriller,27-Sep-2019,115,6.2,English
Lost Bullet,Thriller,19-Jun-2020,92,6.2,French
Octonauts & the Caves of Sac Actun,Animation,14-Aug-2020,72,6.2,English
Offering to the Storm,Thriller,24-Jul-2020,139,6.2,Spanish
Roxanne Roxanne,Biopic,23-Mar-2018,98,6.2,English
Someone Great,Romantic comedy,19-Apr-2019,92,6.2,English
Spenser Confidential,Action comedy,6-Mar-2020,111,6.2,English
The Land of Steady Habits,Drama,14-Sep-2018,98,6.2,English
The Rachel Divide,Documentary,27-Apr-2018,104,6.2,English
Voyuer ,Documentary,1-Dec-2017,95,6.2,English
Win It All,Comedy,7-Apr-2017,88,6.2,English
1922,Horror/Crime drama,20-Oct-2017,102,6.3,English
A Tale of Two Kitchens,Documentary,22-May-2019,30,6.3,English/Spanish
Alex Strangelove,Romantic comedy,8-Jun-2018,99,6.3,English
Apostle,Horror-thriller,12-Oct-2018,129,6.3,English
Benji,Family film,16-Mar-2018,87,6.3,English
Bright,Urban fantasy,22-Dec-2017,117,6.3,English
Cargo,Drama/Horror,18-May-2018,104,6.3,English
Concrete Cowboy,Drama,2-Apr-2021,111,6.3,English
Feel the Beat,Family/Comedy-drama,19-Jun-2020,107,6.3,English
Get the Goat,Comedy,18-Mar-2021,97,6.3,Portuguese
I Am Not an Easy Man,Romantic comedy,13-Apr-2018,98,6.3,French
June & Kopi,Drama,28-Jan-2021,90,6.3,Indonesian
Music Teacher,Drama,19-Apr-2019,101,6.3,Hindi
Nail Bomber: Manhunt,Documentary,26-May-2021,72,6.3,English
Notes for My Son,Drama,24-Nov-2020,83,6.3,Spanish
Polar,Action,25-Jan-2019,118,6.3,English
Porta dos Fundos: The Last Hangover,Comedy,21-Dec-2018,44,6.3,Portuguese
Sand Castle,War,21-Apr-2017,113,6.3,English
Shimmer Lake,Crime thriller,9-Jun-2017,86,6.3,English
Spectral,Science fiction/Action,9-Dec-2016,108,6.3,English
The Babysitter,Teen comedy horror,13-Oct-2017,85,6.3,English
The Discovery,Science fiction/Drama,31-Mar-2017,102,6.3,English
The Forest of Love,Drama,11-Oct-2019,151,6.3,Japanese
The Laundromat,Comedy-drama,18-Oct-2019,98,6.3,English
The Legend of Cocaine Island,Documentary,29-Mar-2019,87,6.3,English
The Outsider,Crime drama,9-Mar-2018,120,6.3,English/Japanese
Time to Hunt,Thriller,23-Apr-2020,134,6.3,Korean
To All the Boys: Always and Forever,Romantic comedy,12-Feb-2021,109,6.3,English
Travis Scott: Look Mom I Can Fly,Documentary,28-Aug-2019,85,6.3,English
Uncorked,Drama,27-Mar-2020,103,6.3,English
Anelka: Misunderstood,Documentary,5-Aug-2020,94,6.4,French
"Ariana Grande: Excuse Me, I Love You",Concert Film,21-Dec-2020,97,6.4,English
ARQ,Science fiction/Thriller,16-Sep-2016,88,6.4,English
Birders,Documentary,25-Sep-2019,37,6.4,English/Spanish
Como Caído del Cielo,Musical comedy,24-Dec-2019,112,6.4,Spanish
First Match,Sports-drama,30-Mar-2018,102,6.4,English
Fractured,Thriller,11-Oct-2019,100,6.4,English
Irreplaceable You,Drama,16-Feb-2018,96,6.4,English
Isi & Ossi,Romantic comedy,14-Feb-2020,113,6.4,German
John Was Trying to Contact Aliens,Documentary,20-Aug-2020,16,6.4,English
Layla Majnun,Romantic drama,11-Feb-2021,119,6.4,Indonesian
Murder to Mercy: The Cyntoia Brown Story,Documentary,29-Apr-2020,97,6.4,English
My Own Man,Documentary,13-Dec-2014,81,6.4,English
Nappily Ever After,Comedy-drama,21-Sep-2018,98,6.4,English
Over the Moon,Animation/Musical/Adventure,23-Oct-2020,95,6.4,English
Street Flow,Drama,12-Oct-2019,96,6.4,French
Strong Island,Documentary,September 15. 2017,107,6.4,English
